	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	ed_uni	ed_uni	ed_uni	ed_uni	ed_uni	ed_uni	ed_uni	ed_uni	ed_uni	ed_uni
										
log_ingr	0.119***	0.120***	0.126***	0.126***	0.126***	0.126***	0.127***	0.136***	0.126***	0.127***
	(0.00157)	(0.00160)	(0.00162)	(0.00163)	(0.00163)	(0.00163)	(0.00173)	(0.00184)	(0.00196)	(0.00301)
edad	-0.00386***	-0.00806***	-0.00961***	-0.00960***	-0.00972***	-0.00972***	-0.00979***	-0.00923***	-0.00848***	-0.00808***
	(0.000144)	(0.000872)	(0.000870)	(0.000870)	(0.000871)	(0.000871)	(0.000873)	(0.000912)	(0.000911)	(0.00140)
sq_edad		4.60e-05***	6.59e-05***	6.59e-05***	6.70e-05***	6.69e-05***	6.77e-05***	6.27e-05***	5.74e-05***	5.24e-05***
		(9.41e-06)	(9.40e-06)	(9.40e-06)	(9.42e-06)	(9.42e-06)	(9.43e-06)	(9.84e-06)	(9.82e-06)	(1.51e-05)
sexo			0.0899***	0.0898***	0.0910***	0.0910***	0.0918***	0.0929***	0.0952***	0.0961***
			(0.00407)	(0.00408)	(0.00412)	(0.00412)	(0.00415)	(0.00427)	(0.00427)	(0.00656)
region				0.000192	0.000191	0.000194	0.000192	-9.39e-06	0.000434	0.000340
				(0.000489)	(0.000489)	(0.000489)	(0.000489)	(0.000502)	(0.000502)	(0.000765)
est_conyugal					-0.00275**	-0.00274**	-0.00264**	-0.00302**	-0.00225*	-0.00134
					(0.00131)	(0.00131)	(0.00131)	(0.00134)	(0.00134)	(0.00250)
orig1						0.000377	0.000369	0.000161	0.000199	0.000450
						(0.000634)	(0.000634)	(0.000642)	(0.000640)	(0.000985)
tipo							0.00418	0.00785***	0.00633**	0.00352
							(0.00262)	(0.00271)	(0.00271)	(0.00416)
habituales								-0.000303***	-0.000341***	-0.000362***
								(4.55e-05)	(4.54e-05)	(7.12e-05)
sector									-0.0650***	-0.0545***
									(0.00441)	(0.00681)
asocia										-0.00704
										(0.00870)
Constant	-1.732***	-1.674***	-1.889***	-1.889***	-1.878***	-1.879***	-1.902***	-2.070***	-1.834***	-1.860***
	(0.0304)	(0.0326)	(0.0338)	(0.0339)	(0.0343)	(0.0343)	(0.0371)	(0.0394)	(0.0425)	(0.0675)
										
Observations	40,384	40,384	40,384	40,384	40,384	40,384	40,384	38,339	38,339	16,317
R-squared	0.153	0.154	0.164	0.164	0.164	0.164	0.164	0.169	0.174	0.174
Standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
